# Cluster list (688 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
63 7 1.0211768102 0.2354750155 0.5905916155 0.2167354467 -0.0685430798 -0.0515533934 -0.1049448462 
64 7 1.0772734102 0.3207062853 0.4817198955 0.3580918196 -0.0761162222 0.2150157961 -0.1695778792 
65 7 1.0250245537 0.272184522 0.2670012739 0.5114895398 -0.0033573127 -0.3045686834 -0.0744480991 
66 6 1.2775440058 0.4261579656 0.2088646256 0.9970960956 0.2385164122 0.1403071722 -0.1100380778 
67 6 1.2849697626 0.4434906456 0.5204120189 0.6872446265 0.4688209406 -0.4439236338 -0.4008835081 
68 6 1.1232253123 0.4980088181 0.6139438782 0.1496824058 -0.0168923307 0.1785875042 0.1958995935 
69 6 0.9858916497 0.2738371447 0.5572513589 0.1408938414 -0.1833364811 0.0092710914 -0.2271257778 
70 6 0.9875185119 0.4120678625 0.1338409122 0.4292840367 -0.0423013317 0.142106195 -0.0454833017 
71 6 1.1281111807 0.1388930422 0.9840735958 0.1496681981 0.2920989217 0.0831038694 0.2744787792 
72 6 0.7848389496 0.15633486 0.2788256077 0.1808117092 -0.157778521 -0.062270355 0.0783914643 
73 6 1.1199253245 1.0691128781 0.1209760689 0.0641437856 0.0592706139 0.0969618972 0.0052608722 
74 6 1.4090347974 0.7573980267 1.1346549047 0.0933261289 0.8061711383 -0.0411853533 -0.1733249089 
75 6 1.2824745351 0.937914903 0.3232893233 0.3835367068 -0.4618302928 0.3504272814 -0.29389417 
76 6 1.1568579471 1.1961493247 0.0894331362 0.0527378489 0.0423596961 -0.1124117689 0.0128186151 
77 6 1.1270078086 0.2438525522 0.8064610714 0.219832977 0.2975963094 -0.1644729176 -0.1890257452 
78 6 1.1207329848 0.3563257156 0.4947304733 0.4049862343 0.2376199967 0.1536702805 -0.0314273775 
79 6 0.9987863021 0.1812152967 0.3883149081 0.4280438725 0.1471262603 0.0938829967 0.1698573709 
80 5 1.3549598616 0.2300883 0.6524385016 0.9533894249 0.33233276 0.3265068394 0.7523562917 
81 5 0.8336277754 0.1472908016 0.436453324 0.1111911424 0.135954388 0.0218504628 0.079791706 
82 5 1.0559614258 0.5597040584 0.246811748 0.3085387264 -0.043443508 0.3175399584 0.117171056 
83 5 0.8142747776 0.2361318439 0.103033568 0.3238780016 -0.0790600036 0.0647533185 0.123905474 
84 5 0.9846041292 0.1706637336 0.5659435732 0.2328379844 0.0193213987 0.07660682 -0.1015492349 
85 5 0.9995136445 0.5139726856 0.4249007304 0.0601541096 -0.3486893468 -0.0840539176 0.0061150788 
86 5 1.1738108466 0.585338442 0.6355809464 0.1569125153 -0.585308836 0.195023483 -0.1802730266 
87 5 1.2456671974 0.9729805926 0.5081042616 0.0706019125 -0.6803319536 -0.1329874099 0.0526467381 
88 5 1.2723209488 0.9801741536 0.0182574136 0.6203690296 0.0206329196 0.7331642176 0.0295198956 
89 5 0.86678032 0.369556108 0.1898638016 0.1918882136 -0.241831872 -0.116481254 0.0809841576 
90 5 0.9588745049 0.0921529424 0.5312113681 0.2960760056 0.1035144936 0.0462790228 0.2364292647 
91 5 0.8246603872 0.371702404 0.1388634142 0.169498936 0.06945649 -0.091510504 0.065143627 
92 5 0.8913014584 0.439024912 0.026499151 0.3288942269 -0.0543782304 -0.1070423944 0.0569618401 
93 5 0.9395224199 0.4818340336 0.2966660934 0.1042022504 -0.315014004 -0.0785245632 0.1361527129 
94 5 1.1709568685 0.179981608 0.1104551144 1.0807032656 -0.072214952 0.330605152 -0.0508308208 
95 5 0.9447112212 0.244530185 0.4491435184 0.198805588 -0.1661083712 -0.0471055078 0.213415616 
96 5 0.8166307592 0.3045741176 0.1367583584 0.2255533209 0.0360593108 0.0357297125 -0.065802911 
97 5 0.9096995713 0.1887497096 0.137637151 0.5011664494 0.0888254651 0.1245439112 -0.057068471 
98 5 0.9216477379 0.1616030984 0.116344232 0.5714872224 0.1311341 0.2356970184 0.17540237 
99 5 1.1009244977 0.4455546433 0.175777948 0.5907021584 -0.2375989446 -0.4429316788 0.273906604 
100 5 0.9834073496 0.0929792 0.1161869616 0.7579238536 0.07210521 0.155101222 -0.0323427944 
101 5 0.9193370638 0.2225579416 0.4436268336 0.1789958616 -0.1251494976 0.1655054396 -0.1661858936 
102 5 1.0197607712 0.1001053224 0.2093553576 0.7304513504 -0.0790223828 -0.1091552164 0.0325201908 
103 4 0.7401317541 0.1427333219 0.1832699797 0.2217917119 -0.1116744038 -0.1506481131 0.1132744277 
104 4 0.8519030795 0.1071997625 0.3316837219 0.2868553725 -0.0399514312 -0.1201927775 0.2641709363 
105 4 0.7799637571 0.1835000886 0.0591409219 0.3657024519 0.0209252416 0.0196881999 0.1127254556 
106 4 0.6482767106 0.092916355 0.0401370619 0.2872092767 -0.0471164 -0.069916555 0.0120151576 
107 4 0.6856167447 0.2661799769 0.0995517369 0.1043386069 0.0547334306 0.1515200206 0.0096786894 
108 4 0.9084648875 0.230724655 0.447476715 0.1471070819 0.2675575 -0.18065598 -0.1820705575 
109 4 0.9078993859 0.3267950138 0.3564585244 0.1410277569 -0.0261499516 0.1819015225 0.0077350615 
110 4 0.8093999537 0.155001865 0.358715585 0.141410835 -0.11400048 0.13886262 -0.103512165 
111 4 0.8546062825 0.1546558069 0.4161903144 0.1595057769 0.0275848655 0.0997946181 -0.170913036 
112 4 0.9483556905 0.1954210719 0.0377176619 0.6662397819 0.0097485194 0.2571791694 0.0280518394 
113 4 1.0697659186 0.6319188219 0.1366729119 0.3758073869 -0.2687334094 -0.4499212381 0.1748519056 
114 4 0.7789292747 0.227290575 0.29987832 0.07956192 -0.08049137 -0.11551226 0.00738264 
115 4 0.8115613724 0.3224060725 0.2605221169 0.0757036719 -0.1732941613 0.1538175813 -0.0972535431 
116 4 0.9706691118 0.7074206269 0.1772037828 0.057574115 0.1736827085 0.114316545 0.1001556243 
117 4 1.0275764071 0.5127674125 0.3354023969 0.2077434631 -0.2519910038 -0.3125425908 0.2112943535 
118 4 1.0695572656 0.3665391525 0.085352305 0.6920612869 0.1617946925 0.5025511287 0.227986615 
119 4 0.7738315671 0.1133202361 0.3065225659 0.1789724923 0.1382853943 0.1302178811 0.1414554689 
120 4 0.6535820616 0.0719108119 0.1569150125 0.1983436869 -0.0738674638 -0.0257081256 -0.0930917987 
121 4 0.7972914173 0.1679755719 0.1638657269 0.3038323054 -0.0485833669 0.050610454 0.192916012 
122 4 0.8166049228 0.2662449219 0.2891585125 0.1114401656 -0.2062275812 -0.0487460807 0.1306987576 
123 4 0.8392501112 0.2936325219 0.0393993703 0.3713088569 -0.0857508613 0.0908942631 -0.0829560077 
124 4 0.8354999203 0.136378675 0.4415069569 0.120174485 -0.1360330375 -0.0710187875 0.1458869275 
125 4 0.758899067 0.1494717519 0.354804935 0.0716511071 0.0827244825 0.0665281188 -0.0628448123 
126 4 0.8900188576 0.2678115125 0.1684944225 0.3558276319 -0.00826147 0.0922152813 0.2284871263 
127 4 0.7419178299 0.1649681569 0.2948399725 0.0906339369 -0.2090839738 -0.0020686031 0.0407555362 
128 4 0.9062751535 0.4809690825 0.0562260225 0.2841395488 -0.035173755 -0.0883112644 0.1257391031 
129 4 0.9553493373 0.2402688919 0.0300306819 0.6423927825 -0.0493649531 0.2827206813 -0.1285815687 
130 3 0.7881884405 0.2452879289 0.0298874289 0.34606566 0.0708604044 0.26640908 0.10007242 
131 3 0.7183266558 0.0973398822 0.1418244867 0.2768288156 -0.1174940633 0.0378792656 -0.04665603 
