# Cluster list (1874 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
62 8 1.3311990099 0.9569632022 0.2096237123 0.6055038894 -0.2731234163 -0.0378504329 -0.1074453518 
63 8 1.2989106083 0.3327350848 0.7612095536 0.59322413 -0.2563484505 -0.2414517563 0.3655391963 
64 8 1.3091831745 0.6380554048 0.5983026801 0.4776024994 0.4001139387 -0.2994396178 -0.2322694784 
65 7 1.4233424392 0.6321871214 1.1411408106 0.2525757672 0.6863338477 0.1602438662 0.240138518 
66 7 1.5888048039 0.4023388939 1.2452540505 0.8767077606 -0.2787196528 0.1999566735 -0.98986245 
67 7 1.1535251093 0.190613917 0.6715083268 0.4684979339 0.1269127804 -0.0222446282 0.1790175459 
68 7 1.2210187665 0.3241551572 0.5014355024 0.6652961686 0.1883801505 0.1844167011 0.0675807629 
69 7 1.2651933085 0.3301696629 0.1985247735 1.0720196715 -0.1193284143 0.2993601701 -0.20194193 
70 7 1.5619618162 0.9817955624 0.1911099993 1.2668191534 0.0114426562 -1.0272058093 -0.0197453752 
71 7 1.3924652595 0.2835822841 0.4645407929 1.190836422 0.2261351007 0.3441297031 0.4296077438 
72 7 1.5563449494 1.25297254 0.3485155906 0.820721471 0.2733754873 0.6363044518 -0.2273599202 
73 7 1.3879717569 1.2490358029 0.3266504898 0.3507793053 0.4941357886 -0.25121319 -0.2450212306 
74 7 1.222745225 0.4064965649 0.2418334841 0.8467758363 0.213720849 0.3749149222 0.3359389424 
75 7 0.9910572658 0.4345400041 0.3208525922 0.2268019078 0.1347873364 -0.2400066176 -0.1070865688 
76 7 1.4832578653 0.6235849163 0.4838766278 1.092592351 -0.4410986963 -0.5827218084 0.5239865541 
77 6 1.1263778122 0.4298085156 0.20023538 0.6386830803 0.2283622033 -0.1931654958 -0.2437854204 
78 6 1.4204158544 0.0161504833 1.0538290347 0.9476016812 -0.039654915 -0.0279606697 -0.8074480798 
79 6 1.2980326844 0.7866974292 0.4595264083 0.4386650122 -0.1698841044 -0.1993637983 -0.2931970233 
80 6 0.996300373 0.1049769538 0.7671166481 0.1205208314 -0.0560056688 0.0018288378 0.0435138664 
81 6 1.168008178 0.7208074358 0.4344195947 0.2090160733 0.0714459925 -0.27824724 -0.0140956717 
82 6 1.0816248834 0.1608694581 0.5845029389 0.4245399914 0.0159100794 -0.1389625897 -0.3453729211 
83 6 1.1486082919 0.6195440422 0.1189414633 0.5808155026 -0.01357835 -0.3183914757 0.06411153 
84 6 0.8575593198 0.2197261222 0.2928526547 0.22282921 -0.1144459672 -0.0092074933 -0.086018095 
85 6 0.9933088585 0.2400310181 0.1861942822 0.5604371881 -0.1572206856 -0.0132438786 0.0524309794 
86 6 1.2490362995 0.7046224567 0.2085227289 0.6469464918 -0.23251206 0.6212929015 -0.1443999299 
87 6 1.2100171751 0.3413398858 0.3465749281 0.7762267502 0.2382628425 0.4513144987 0.2634099534 
88 6 1.6242365518 0.2811509656 0.2043421851 2.1526512256 0.1225487653 0.6882040822 0.5181756892 
89 6 1.2371068769 0.1918162258 0.9031219737 0.4354952253 0.0447944486 -7.9940517654e-04 0.5328858706 
90 6 1.2383160077 0.2425047573 0.2783481881 1.0125735896 -0.1073391572 0.3559650045 -0.3607684718 
91 6 1.3015281537 0.8239840522 0.7242625228 0.14572896 0.4735497412 0.0074347383 -0.1835502987 
92 6 1.0796028339 0.3929678012 0.1458558988 0.6267185789 0.0755630002 -0.2261394636 -0.180194867 
93 6 1.1903141992 0.2868517047 0.4465490447 0.6834471433 0.0543765703 0.1357323829 0.0898198091 
94 6 0.96068503 0.0615118381 0.3298765625 0.5315273263 0.1009494042 -0.050231286 -0.0377876383 
95 6 1.0109483276 0.1337094214 0.3010995785 0.5872075211 -0.0776300154 0.0147446953 -0.1096622085 
96 6 1.3946402518 0.6085865483 1.2237922114 0.1126426722 -0.5753728276 -0.1488650009 0.1011265761 
97 6 1.0407779722 0.1664913514 0.7183281981 0.1983992381 -0.1653777753 0.0596613614 -0.2236817836 
98 6 1.1605259773 0.4809969025 0.5845320714 0.28129157 -0.2560923342 0.2035956617 0.04705492 
99 5 1.163003359 0.2555376976 0.6034715784 0.493567537 -0.3530671148 0.2200976406 -0.4783851058 
